transaction_id,buyer_id,supplier_id,drug_name,therapeutic_class,quantity,unit_price,country,transaction_date
1,52,17,Ceftriaxone,Analgesics,372,10.56,Uganda,2024-04-23
2,93,27,Ceftriaxone,Diabetes,256,20.53,Tanzania,2024-12-04
3,15,7,Metformin,Analgesics,215,22.43,Uganda,2024-02-25
4,72,8,Amoxicillin,Diabetes,30,21.4,Uganda,2024-12-24
5,61,3,Insulin,Analgesics,281,17.0,Uganda,2024-05-17
6,21,22,Amoxicillin,Antibiotics,412,3.87,Uganda,2024-04-11
7,83,2,Metformin,Antibiotics,482,7.28,Uganda,2024-11-29
8,87,23,Insulin,Diabetes,237,1.63,Kenya,2024-06-25
9,75,15,Ceftriaxone,Analgesics,248,23.31,Kenya,2024-06-17
10,75,24,Metformin,Analgesics,368,16.69,Tanzania,2024-12-04
11,88,22,Ceftriaxone,Antibiotics,495,18.79,Kenya,2024-10-12
12,100,22,Paracetamol,Antibiotics,25,8.13,Kenya,2024-09-17
13,24,5,Metformin,Diabetes,74,21.22,Kenya,2024-08-10
14,3,24,Paracetamol,Antibiotics,206,6.86,Uganda,2024-07-17
15,22,1,Metformin,Diabetes,490,0.54,Uganda,2024-07-29
16,53,26,Metformin,Antibiotics,494,9.72,Tanzania,2024-10-13
17,2,4,Paracetamol,Antibiotics,314,14.48,Tanzania,2024-06-28
18,88,15,Insulin,Analgesics,94,12.23,Tanzania,2024-09-06
19,30,20,Amoxicillin,Antibiotics,375,21.62,Uganda,2024-08-18
20,38,19,Ceftriaxone,Antibiotics,127,3.08,Kenya,2024-01-23
21,2,3,Metformin,Diabetes,425,14.07,Kenya,2024-02-17
22,64,20,Ceftriaxone,Antibiotics,25,13.07,Uganda,2024-04-18
23,60,11,Paracetamol,Diabetes,334,7.39,Tanzania,2024-10-22
24,21,17,Ceftriaxone,Antibiotics,355,20.64,Tanzania,2024-01-06
25,33,30,Paracetamol,Antibiotics,116,18.94,Tanzania,2024-02-07
26,76,27,Ceftriaxone,Diabetes,48,18.46,Uganda,2024-06-17
